Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
12-06-2023;CF2;C07;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
12-06-2023;CF2;C09;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
12-06-2023;CF2;C09;CAT 797 B;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;346,4039917;1;ESPERANZA
12-06-2023;CF2;C10;CAT 797 B;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1732,017944;5;ESPERANZA
12-06-2023;CF2;C12;CAT 797 B;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1039,211975;3;ESPERANZA
12-06-2023;CF2;C128;CAT 793 C;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_CENTRAL_SUR_INF;216,4360046;1;ESPERANZA
12-06-2023;CF2;C128;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
12-06-2023;CF2;C130;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;433,92099;2;ESPERANZA
12-06-2023;CF2;C135;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
12-06-2023;CF2;C14;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
12-06-2023;CF2;C15;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
12-06-2023;CF2;C153;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
12-06-2023;CF2;C16;CAT 797 B;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;7274,483826;21;ESPERANZA
12-06-2023;CF2;C160;CAT 793 F;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_CENTRAL_SUR_INF;216,4360046;1;ESPERANZA
12-06-2023;CF2;C160;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
12-06-2023;CF2;C161;CAT 793 F;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_CENTRAL_SUR_INF;216,4360046;1;ESPERANZA
12-06-2023;CF2;C161;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;433,9200134;2;ESPERANZA
12-06-2023;CF2;C162;CAT 793 F;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_CENTRAL_SUR_INF;216,4360046;1;ESPERANZA
12-06-2023;CF2;C17;CAT 797 F;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
12-06-2023;CF2;C19;CAT 797 F;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
12-06-2023;CF2;C19;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;346,4039917;1;ESPERANZA
12-06-2023;CF2;C20;CAT 797 F;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_2380_INT;1385,619995;4;ESPERANZA
12-06-2023;CF2;C21;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;346,4039917;1;ESPERANZA
12-06-2023;CF2;C34;CAT 797 F;Lastre Sulfurado;ESP/F07/2120/7290;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
