Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
30-06-2023;CF2;C125;CAT 793 C;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;216,4360046;1;ESPERANZA
30-06-2023;CF2;C130;CAT 793 C;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;865,7449951;4;ESPERANZA
30-06-2023;CF2;C131;CAT 793 C;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;865,7459717;4;ESPERANZA
30-06-2023;CF2;C153;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;432,8729858;2;ESPERANZA
30-06-2023;CF2;C156;CAT 793 F;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;649,3089905;3;ESPERANZA
30-06-2023;CF2;C156;CAT 793 F;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;216,4360046;1;ESPERANZA
30-06-2023;CF2;C156;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;649,309021;3;ESPERANZA
30-06-2023;CF2;C161;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;216,4360046;1;ESPERANZA
30-06-2023;CF2;C162;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;216,4360046;1;ESPERANZA
30-06-2023;CF2;C163;CAT 793 F;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;STOCK_SAL_DIN;216,4360046;1;ESPERANZA
30-06-2023;CF2;C163;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;649,309021;3;ESPERANZA
30-06-2023;CF2;C25;CAT 797 F;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;692,8079834;2;ESPERANZA
30-06-2023;CF2;C36;CAT 797 F;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;346,4039917;1;ESPERANZA
30-06-2023;CF2;C48;CAT 797 F;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;346,4039917;1;ESPERANZA
30-06-2023;CF2;C49;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;582;2;ESPERANZA
30-06-2023;CF2;C50;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF2;C50;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;582;2;ESPERANZA
30-06-2023;CF2;C50;KOM 930 E;Sulfuro de Media;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF2;C51;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF2;C51;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;873;3;ESPERANZA
30-06-2023;CF2;C55;KOM 930 E;Lastre Sulfurado;ESP/F08/1752/810;FASE 8;BOT_MIJO;291;1;ESPERANZA
30-06-2023;CF2;C55;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF2;C55;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;582;2;ESPERANZA
30-06-2023;CF2;C56;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;582;2;ESPERANZA
30-06-2023;CF2;C56;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;1164;4;ESPERANZA
30-06-2023;CF2;C56;KOM 930 E;Sulfuro de Media;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF2;C57;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF2;C57;KOM 930 E;Sulfuro de Media;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF2;C58;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF2;C58;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;STOCK_SAL_DIN;291;1;ESPERANZA
30-06-2023;CF2;C58;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;1164;4;ESPERANZA
30-06-2023;CF2;C59;KOM 930 E;Sulfuro de Media;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF2;C60;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;582;2;ESPERANZA
30-06-2023;CF2;C60;KOM 930 E;Sulfuro de Alta Ley;ESP/F08/1752/8100;FASE 8;CHANCADO-SULFURO;582;2;ESPERANZA
30-06-2023;CF2;C61;KOM 930 E;Sulfuro de Media;ESP/F08/1752/810;FASE 8;CHANCADO-SULFURO;291;1;ESPERANZA
30-06-2023;CF203;C123;CAT 793 C;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;865,7459717;4;TESORO
30-06-2023;CF203;C132;CAT 793 C;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;1082,181976;5;TESORO
30-06-2023;CF203;C134;CAT 793 C;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;216,4360046;1;TESORO
30-06-2023;CF203;C135;CAT 793 C;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;1515,054993;7;TESORO
30-06-2023;CF203;C154;CAT 793 F;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;865,7459717;4;TESORO
30-06-2023;CF231;C121;CAT 793 C;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;1082,181976;5;TESORO
30-06-2023;CF231;C123;CAT 793 C;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;4112,29599;19;TESORO
30-06-2023;CF231;C132;CAT 793 C;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;7358,835907;34;TESORO
30-06-2023;CF231;C134;CAT 793 C;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;216,4360046;1;TESORO
30-06-2023;CF231;C135;CAT 793 C;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;6709,525848;31;TESORO
30-06-2023;CF231;C154;CAT 793 F;Marginal;STM-02;OXIDO;CHANCADO-OXIDO;1298,619995;6;TESORO
30-06-2023;CF231;C154;CAT 793 F;Marginal;STM-02;OXIDO;STM-02;216,4360046;1;TESORO
