Fecha;Carguio;Cami¢n;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
16-12-2022;PA3;C45;CAT 797 F;Sulfuro Baja Ley;ESP/F08/1832/8160;FASE 8;STOCK_SBL1;348,0710144;1;ESPERANZA
16-12-2022;PA3;C45;CAT 797 F;Sulfuro Baja Ley;ESP/F08/1832/820;FASE 8;CHANCADO-SULFURO;348,0710144;1;ESPERANZA
16-12-2022;PA3;C46;CAT 797 F;Lastre Sulfurado;ESP/F08/1848/832;FASE 8;BOT_RAMPA_F08;11834,40039;34;ESPERANZA
16-12-2022;PA3;C46;CAT 797 F;Lastre Sulfurado;ESP/F08/1848/832;FASE 8;BOT_RAMPA_SUPERIOR;696,1420288;2;ESPERANZA
16-12-2022;PA3;C46;CAT 797 F;Sulfuro Baja Ley;ESP/F08/1832/820;FASE 8;CHANCADO-SULFURO;348,0710144;1;ESPERANZA
16-12-2022;PA3;C47;CAT 797 F;Lastre Sulfurado;ESP/F08/1848/832;FASE 8;BOT_RAMPA_SUPERIOR;348,0710144;1;ESPERANZA
16-12-2022;PA3;C47;CAT 797 F;Sulfuro Baja Ley;ESP/F08/1832/820;FASE 8;STOCK_SBL1;348,0710144;1;ESPERANZA
16-12-2022;PA3;C48;CAT 797 F;Lastre Sulfurado;ESP/F08/1848/832;FASE 8;BOT_RAMPA_SUPERIOR;696,1420288;2;ESPERANZA
16-12-2022;PA3;C48;CAT 797 F;Sulfuro Baja Ley;ESP/F08/1832/820;FASE 8;CHANCADO-SULFURO;348,0710144;1;ESPERANZA
16-12-2022;PA3;C49;KOM 930 E;Lastre Sulfurado;ESP/F08/1848/832;FASE 8;BOT_RAMPA_SUPERIOR;866,4809875;3;ESPERANZA
16-12-2022;PA3;C50;KOM 930 E;Lastre Sulfurado;ESP/F08/1848/832;FASE 8;BOT_RAMPA_SUPERIOR;288,8269958;1;ESPERANZA
16-12-2022;PA3;C50;KOM 930 E;Sulfuro Baja Ley;ESP/F08/1832/820;FASE 8;CHANCADO-SULFURO;288,8269958;1;ESPERANZA
16-12-2022;PA3;C51;KOM 930 E;Lastre Sulfurado;ESP/F08/1848/832;FASE 8;BOT_PLATAFORMA;288,8269958;1;ESPERANZA
16-12-2022;PA3;C51;KOM 930 E;Lastre Sulfurado;ESP/F08/1848/832;FASE 8;BOT_RAMPA_SUPERIOR;577,6539917;2;ESPERANZA
16-12-2022;PA3;C53;KOM 930 E;Lastre Sulfurado;ESP/F08/1848/832;FASE 8;BOT_RAMPA_SUPERIOR;1155,307983;4;ESPERANZA
