Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
18-06-2023;CF2;C125;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;2603,521057;12;ESPERANZA_SUR
18-06-2023;CF2;C125;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL1;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
18-06-2023;CF2;C125;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1084,801987;5;ESPERANZA
18-06-2023;CF2;C128;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL1;ESPERANZA;CHANCADO-SULFURO;1518,722961;7;ESPERANZA
18-06-2023;CF2;C130;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1084,801987;5;ESPERANZA
18-06-2023;CF2;C132;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
18-06-2023;CF2;C15;CAT 797 B;Sulfuro Baja Ley;STOCK_SBL1;ESPERANZA;CHANCADO-SULFURO;2078,419922;6;ESPERANZA
18-06-2023;CF2;C15;CAT 797 B;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;346,4039917;1;ESPERANZA
18-06-2023;CF2;C152;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL1;ESPERANZA;CHANCADO-SULFURO;1518,72197;7;ESPERANZA
18-06-2023;CF2;C153;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;1952,642029;9;ESPERANZA_SUR
18-06-2023;CF2;C153;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL1;ESPERANZA;CHANCADO-SULFURO;433,92099;2;ESPERANZA
18-06-2023;CF2;C153;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
18-06-2023;CF2;C155;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;433,92099;2;ESPERANZA
18-06-2023;CF2;C156;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;1952,64006;9;ESPERANZA_SUR
18-06-2023;CF2;C156;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;2386,561005;11;ESPERANZA
18-06-2023;CF2;C159;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;433,92099;2;ESPERANZA
18-06-2023;CF2;C160;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;2603,521057;12;ESPERANZA_SUR
18-06-2023;CF2;C160;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1084,801987;5;ESPERANZA
18-06-2023;CF2;C18;CAT 797 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;7274,481995;21;ESPERANZA_SUR
18-06-2023;CF2;C18;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;3810,437866;11;ESPERANZA
18-06-2023;CF2;C20;CAT 797 F;Sulfuro Baja Ley;STOCK_SBL1;ESPERANZA;CHANCADO-SULFURO;692,8079834;2;ESPERANZA
18-06-2023;CF2;C32;CAT 797 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;6235,269958;18;ESPERANZA_SUR
18-06-2023;CF2;C32;CAT 797 F;Sulfuro Baja Ley;STOCK_SBL1;ESPERANZA;CHANCADO-SULFURO;692,8079834;2;ESPERANZA
18-06-2023;CF2;C32;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;2771,231995;8;ESPERANZA
18-06-2023;CF2;C61;KOM 930 E;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;291;1;ESPERANZA
18-06-2023;CF203;C121;CAT 793 C;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;1515,053986;7;TESORO
