Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
27-06-2023;CF2;C07;CAT 797 B;Sulfuro Baja Ley;ESP/F08/1768/R800;FASE 8;STOCK_SME1;346,4039917;1;ESPERANZA
27-06-2023;CF2;C128;CAT 793 C;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;216,4360046;1;ESPERANZA
27-06-2023;CF2;C131;CAT 793 C;Sulfuro Baja Ley;ESP/F08/1768/R800;FASE 8;STOCK_SME1;432,8729858;2;ESPERANZA
27-06-2023;CF2;C132;CAT 793 C;Sulfuro Baja Ley;ESP/F08/1768/R800;FASE 8;STOCK_SME1;216,4360046;1;ESPERANZA
27-06-2023;CF2;C134;CAT 793 C;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;649,3089905;3;ESPERANZA
27-06-2023;CF2;C135;CAT 793 C;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;216,4360046;1;ESPERANZA
27-06-2023;CF2;C135;CAT 793 C;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;STOCK_SPL_DIN;216,4360046;1;ESPERANZA
27-06-2023;CF2;C151;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;216,4360046;1;ESPERANZA
27-06-2023;CF2;C153;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;432,8729858;2;ESPERANZA
27-06-2023;CF2;C154;CAT 793 F;Sulfuro Baja Ley;ESP/F08/1768/R800;FASE 8;STOCK_SME1;216,4360046;1;ESPERANZA
27-06-2023;CF2;C155;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;216,4360046;1;ESPERANZA
27-06-2023;CF2;C155;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;STOCK_SPL_DIN;216,4360046;1;ESPERANZA
27-06-2023;CF2;C156;CAT 793 F;Sulfuro Baja Ley;ESP/F08/1768/R800;FASE 8;STOCK_SME1;1082,181976;5;ESPERANZA
27-06-2023;CF2;C156;CAT 793 F;Sulfuro Planta;ESP/F08/1768/R800;FASE 8;CHANCADO-SULFURO;649,3080139;3;ESPERANZA
