Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
01-06-2023;CF2;C08;CAT 797 B;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;1385,619995;4;ESPERANZA
01-06-2023;CF2;C08;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/727;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
01-06-2023;CF2;C10;CAT 797 B;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
01-06-2023;CF2;C10;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/727;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
01-06-2023;CF2;C11;CAT 797 B;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
01-06-2023;CF2;C11;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/727;FASE 7;BOT_2380_INT;1039,209961;3;ESPERANZA
01-06-2023;CF2;C12;CAT 797 B;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;1039,209961;3;ESPERANZA
01-06-2023;CF2;C12;CAT 797 B;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_INT_RB;346,4039917;1;ESPERANZA
01-06-2023;CF2;C12;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/727;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
01-06-2023;CF2;C13;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/727;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
01-06-2023;CF2;C14;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/727;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
01-06-2023;CF2;C15;CAT 797 B;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
01-06-2023;CF2;C15;CAT 797 B;Lastre Sulfurado;ESP/F07/2120/727;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
01-06-2023;CF2;C152;CAT 793 F;Lastre Sulfurado;ESP/F07/2120/727;FASE 7;BOT_2380_INT;216,4360046;1;ESPERANZA
01-06-2023;CF2;C16;CAT 797 B;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
01-06-2023;CF2;C17;CAT 797 F;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
01-06-2023;CF2;C17;CAT 797 F;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_INT_RB;346,4039917;1;ESPERANZA
01-06-2023;CF2;C18;CAT 797 F;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
