Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
23-06-2023;CF2;C07;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;1039,209961;3;ESPERANZA
23-06-2023;CF2;C08;CAT 797 B;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C08;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;692,8079834;2;ESPERANZA
23-06-2023;CF2;C10;CAT 797 B;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C10;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;1732,02002;5;ESPERANZA
23-06-2023;CF2;C11;CAT 797 B;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C11;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;1039,209961;3;ESPERANZA
23-06-2023;CF2;C12;CAT 797 B;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
23-06-2023;CF2;C12;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;2424,830078;7;ESPERANZA
23-06-2023;CF2;C125;CAT 793 C;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;216,4360046;1;ESPERANZA
23-06-2023;CF2;C13;CAT 797 B;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C13;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;346,4039917;1;ESPERANZA
23-06-2023;CF2;C131;CAT 793 C;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;216,4360046;1;ESPERANZA
23-06-2023;CF2;C132;CAT 793 C;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;216,4360046;1;ESPERANZA
23-06-2023;CF2;C15;CAT 797 B;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
23-06-2023;CF2;C15;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;346,4039917;1;ESPERANZA
23-06-2023;CF2;C153;CAT 793 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;432,8720093;2;ESPERANZA
23-06-2023;CF2;C16;CAT 797 B;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;1385,619995;4;ESPERANZA
23-06-2023;CF2;C16;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;1385,619995;4;ESPERANZA
23-06-2023;CF2;C164;CAT 793 F;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;216,4360046;1;ESPERANZA
23-06-2023;CF2;C17;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C17;CAT 797 F;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;692,8079834;2;ESPERANZA
23-06-2023;CF2;C18;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;1039,211975;3;ESPERANZA
23-06-2023;CF2;C21;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C22;CAT 797 F;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;1385,619995;4;ESPERANZA
23-06-2023;CF2;C23;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
23-06-2023;CF2;C25;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
23-06-2023;CF2;C32;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;1039,211975;3;ESPERANZA
23-06-2023;CF2;C34;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
23-06-2023;CF2;C36;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;1039,209961;3;ESPERANZA
23-06-2023;CF2;C37;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
23-06-2023;CF2;C39;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C40;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
23-06-2023;CF2;C43;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
23-06-2023;CF2;C44;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C45;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C46;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
23-06-2023;CF2;C47;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;1039,211975;3;ESPERANZA
23-06-2023;CF2;C48;CAT 797 F;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;2424,823914;7;ESPERANZA
23-06-2023;CF203;C130;CAT 793 C;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;1947,925995;9;TESORO
23-06-2023;CF203;C132;CAT 793 C;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;865,7450256;4;TESORO
23-06-2023;CF203;C151;CAT 793 F;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;2597,238953;12;TESORO
23-06-2023;CF203;C155;CAT 793 F;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;3895,859039;18;TESORO
23-06-2023;CF231;C121;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT_CENTRAL_SUR_INF;216,4360046;1;ESPERANZA
23-06-2023;CF231;C121;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;1298,619995;6;ESPERANZA
23-06-2023;CF231;C122;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT_MIJO;216,4360046;1;ESPERANZA
23-06-2023;CF231;C122;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;649,3089905;3;ESPERANZA
23-06-2023;CF231;C123;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT_CENTRAL_SUR_INF;216,4360046;1;ESPERANZA
23-06-2023;CF231;C123;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;432,8729858;2;ESPERANZA
23-06-2023;CF231;C125;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;1082,181976;5;ESPERANZA
23-06-2023;CF231;C128;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT_CENTRAL_SUR_INF;432,8729858;2;ESPERANZA
23-06-2023;CF231;C128;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;216,4360046;1;ESPERANZA
23-06-2023;CF231;C129;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT_RAMPA_INFERIOR;216,4360046;1;ESPERANZA
23-06-2023;CF231;C129;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;1731,491943;8;ESPERANZA
23-06-2023;CF231;C131;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;216,4360046;1;ESPERANZA
23-06-2023;CF231;C132;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;1082,181976;5;ESPERANZA
23-06-2023;CF231;C134;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;1731,48999;8;ESPERANZA
23-06-2023;CF231;C151;CAT 793 F;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;432,8729858;2;ESPERANZA
23-06-2023;CF231;C153;CAT 793 F;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;216,4360046;1;ESPERANZA
23-06-2023;CF231;C155;CAT 793 F;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;216,4360046;1;ESPERANZA
