Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
05-06-2023;CF203;C122;CAT 793 C;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;649,309021;3;TESORO
05-06-2023;CF203;C130;CAT 793 C;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;3462,983002;16;TESORO
05-06-2023;CF203;C156;CAT 793 F;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;649,3089905;3;TESORO
05-06-2023;CF232;C121;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;7700;35;TESORO
05-06-2023;CF232;C123;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;7700;35;TESORO
05-06-2023;CF232;C125;CAT 793 C;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;649,309021;3;TESORO
05-06-2023;CF232;C125;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;4620;21;TESORO
05-06-2023;CF232;C129;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;5060;23;TESORO
05-06-2023;CF232;C135;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;880;4;TESORO
05-06-2023;CF232;C151;CAT 793 F;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;225;1;TESORO
05-06-2023;CF233;C121;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;216,4360046;1;ESPERANZA
05-06-2023;CF233;C122;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;649,309021;3;ESPERANZA
05-06-2023;CF233;C128;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;2597,242035;12;ESPERANZA
05-06-2023;CF233;C130;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;216,4360046;1;ESPERANZA
05-06-2023;CF233;C132;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;2813,675079;13;ESPERANZA
05-06-2023;CF233;C134;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_MIJO;216,4360046;1;ESPERANZA
05-06-2023;CF233;C134;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;6060,220215;28;ESPERANZA
05-06-2023;CF233;C135;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;1947,925049;9;ESPERANZA
05-06-2023;CF233;C151;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;4761,59906;22;ESPERANZA
05-06-2023;CF233;C152;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;1082,182007;5;ESPERANZA
05-06-2023;CF233;C153;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;1515,054047;7;ESPERANZA
05-06-2023;CF233;C154;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;2597,238953;12;ESPERANZA
05-06-2023;CF233;C155;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;1298,618042;6;ESPERANZA
05-06-2023;CF233;C156;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;1298,618042;6;ESPERANZA
05-06-2023;CF233;C159;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;3462,97998;16;ESPERANZA
05-06-2023;CF233;C160;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;3462,988007;16;ESPERANZA
05-06-2023;CF233;C161;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;432,8729858;2;ESPERANZA
05-06-2023;CF233;C164;CAT 793 F;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;1515,054993;7;ESPERANZA
05-06-2023;CF234;C121;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;649,309021;3;TESORO
05-06-2023;CF234;C122;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;3462,985046;16;TESORO
05-06-2023;CF234;C123;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;1515,060059;7;TESORO
05-06-2023;CF234;C125;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;432,8729858;2;TESORO
05-06-2023;CF234;C130;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;3246,549011;15;TESORO
05-06-2023;CF234;C131;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;7791,719055;36;TESORO
05-06-2023;CF234;C135;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;3462,982025;16;TESORO
05-06-2023;CF3;C07;CAT 797 B;Lastre Sulfurado;ESP/F07/2104/706;FASE 7;BOT_2380_INT;692,8079834;2;ESPERANZA
05-06-2023;CF3;C12;CAT 797 B;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
05-06-2023;CF3;C128;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;1301,76001;6;ESPERANZA_SUR
05-06-2023;CF3;C13;CAT 797 B;Lastre Oxidado;ESP/F07/2120/705;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
05-06-2023;CF3;C14;CAT 797 B;Lastre Sulfurado;ESP/F07/2104/706;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
05-06-2023;CF3;C152;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;1518,719971;7;ESPERANZA_SUR
05-06-2023;CF3;C153;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;1518,719971;7;ESPERANZA_SUR
05-06-2023;CF3;C154;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;1084,800049;5;ESPERANZA_SUR
05-06-2023;CF3;C16;CAT 797 B;Lastre Sulfurado;ESP/F07/2104/706;FASE 7;BOT_2380_INT;346,4039917;1;ESPERANZA
