Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
16-06-2023;CF2;C121;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;433,92099;2;ESPERANZA_SUR
16-06-2023;CF2;C122;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;3254,402985;15;ESPERANZA_SUR
16-06-2023;CF2;C125;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;3688,322037;17;ESPERANZA_SUR
16-06-2023;CF2;C129;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;433,92099;2;ESPERANZA_SUR
16-06-2023;CF2;C130;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;2169,60495;10;ESPERANZA_SUR
16-06-2023;CF2;C131;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;3688,322052;17;ESPERANZA_SUR
16-06-2023;CF2;C134;CAT 793 C;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;650,8809967;3;ESPERANZA_SUR
16-06-2023;CF2;C15;CAT 797 B;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;2078,424011;6;ESPERANZA_SUR
16-06-2023;CF2;C151;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;6725,769943;31;ESPERANZA_SUR
16-06-2023;CF2;C159;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;650,8809814;3;ESPERANZA_SUR
16-06-2023;CF2;C160;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;650,8809967;3;ESPERANZA_SUR
16-06-2023;CF2;C161;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;5857,920044;27;ESPERANZA_SUR
16-06-2023;CF2;C162;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;1952,640015;9;ESPERANZA_SUR
16-06-2023;CF2;C164;CAT 793 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;433,92099;2;ESPERANZA_SUR
16-06-2023;CF2;C19;CAT 797 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;1385,615967;4;ESPERANZA_SUR
16-06-2023;CF2;C32;CAT 797 F;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;1385,615967;4;ESPERANZA_SUR
16-06-2023;CF2;C54;KOM 930 E;Sulfuro Baja Ley;STOCK_SBL_ESS;ESPERANZA_SUR;CHANCADO-SULFURO;291;1;ESPERANZA_SUR
16-06-2023;CF203;C123;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;2420;11;TESORO
16-06-2023;CF203;C125;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;2640;12;TESORO
16-06-2023;CF203;C128;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;2200;10;TESORO
16-06-2023;CF203;C129;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;1980;9;TESORO
16-06-2023;CF203;C132;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;2640;12;TESORO
16-06-2023;CF203;C134;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;220;1;TESORO
16-06-2023;CF203;C135;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;2420;11;TESORO
16-06-2023;CF203;C151;CAT 793 F;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;675;3;TESORO
16-06-2023;CF203;C155;CAT 793 F;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;1800;8;TESORO
16-06-2023;CF203;C159;CAT 793 F;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;225;1;TESORO
16-06-2023;CF203;C160;CAT 793 F;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;3150;14;TESORO
16-06-2023;CF203;C161;CAT 793 F;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;450;2;TESORO
16-06-2023;CF231;C121;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;7791,708099;36;TESORO
16-06-2023;CF231;C122;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;432,8729858;2;TESORO
16-06-2023;CF231;C123;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;2597,233093;12;TESORO
16-06-2023;CF231;C125;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;1731,492981;8;TESORO
16-06-2023;CF231;C132;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;216,4360046;1;TESORO
16-06-2023;CF231;C135;CAT 793 C;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;1082,180054;5;TESORO
16-06-2023;CF231;C155;CAT 793 F;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;865,7449951;4;TESORO
16-06-2023;CF231;C159;CAT 793 F;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;2164,36499;10;TESORO
16-06-2023;CF231;C160;CAT 793 F;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;432,8729858;2;TESORO
16-06-2023;CF231;C161;CAT 793 F;Marginal Alta;STM-NE-02;OXIDO;CHANCADO-OXIDO;432,8729858;2;TESORO
16-06-2023;CF232;C122;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;433,92099;2;ESPERANZA
16-06-2023;CF232;C125;CAT 793 C;Lastre Sulfurado;ESP/F10/2328/1320;FASE 10;BOT_RAMPA_INFERIOR;1082,180054;5;ESPERANZA
16-06-2023;CF232;C128;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;650,8809814;3;ESPERANZA
16-06-2023;CF232;C130;CAT 793 C;Lastre Sulfurado;ESP/F10/2328/1320;FASE 10;BOT_RAMPA_INFERIOR;865,7459717;4;ESPERANZA
16-06-2023;CF232;C130;CAT 793 C;Sulfuro de Alta Ley;STOCK_SAL_DIN;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
16-06-2023;CF232;C130;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1952,64006;9;ESPERANZA
16-06-2023;CF232;C131;CAT 793 C;Lastre Sulfurado;ESP/F10/2328/1320;FASE 10;BOT_RAMPA_INFERIOR;649,309021;3;ESPERANZA
16-06-2023;CF232;C131;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1301,760056;6;ESPERANZA
16-06-2023;CF232;C132;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
16-06-2023;CF232;C134;CAT 793 C;Lastre Sulfurado;ESP/F10/2328/1320;FASE 10;BOT_RAMPA_INFERIOR;432,8720093;2;ESPERANZA
16-06-2023;CF232;C134;CAT 793 C;Sulfuro de Alta Ley;STOCK_SAL_DIN;ESPERANZA;CHANCADO-SULFURO;650,8809967;3;ESPERANZA
16-06-2023;CF232;C134;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;2603,521042;12;ESPERANZA
16-06-2023;CF232;C135;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;433,92099;2;ESPERANZA
16-06-2023;CF232;C154;CAT 793 F;Lastre Oxidado;ESP/F10/2328/130;FASE 10;BOT_CENTRAL_SUR_INF;216,4360046;1;ESPERANZA
16-06-2023;CF232;C154;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1518,720016;7;ESPERANZA
16-06-2023;CF232;C155;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
16-06-2023;CF232;C156;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;216,9600067;1;ESPERANZA
