Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
04-06-2023;CF203;C153;CAT 793 F;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;432,8729858;2;TESORO
04-06-2023;CF203;C156;CAT 793 F;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;4112,289001;19;TESORO
04-06-2023;CF232;C121;CAT 793 C;Baja Ley 1;ST-TS_18;OXIDO;CHANCADO-OXIDO;1082,180054;5;TESORO
04-06-2023;CF232;C121;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;5500;25;TESORO
04-06-2023;CF232;C122;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;4840;22;TESORO
04-06-2023;CF232;C125;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;1540;7;TESORO
04-06-2023;CF232;C131;CAT 793 C;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;220;1;TESORO
04-06-2023;CF232;C151;CAT 793 F;Marginal Rom;STOCK_MRO_MIR;OXIDO;ROM;225;1;TESORO
04-06-2023;CF233;C123;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;2380,796112;11;ESPERANZA
04-06-2023;CF233;C123;CAT 793 C;Lastre Sulfurado;ESP/F10/2328/1240;FASE 10;BOT_RAMPA_SUPERIOR;216,4360046;1;ESPERANZA
04-06-2023;CF233;C125;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;1515,060059;7;ESPERANZA
04-06-2023;CF233;C128;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;432,8729858;2;ESPERANZA
04-06-2023;CF233;C129;CAT 793 C;Lastre Oxidado;ESP/F10/2328/125;FASE 10;BOT_RAMPA_SUPERIOR;1082,182007;5;ESPERANZA
04-06-2023;CF233;C129;CAT 793 C;Lastre Sulfurado;ESP/F10/2328/1240;FASE 10;BOT_RAMPA_SUPERIOR;216,4360046;1;ESPERANZA
